latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
18.54775,74.2534,306.65,0.33,0.55,2026-08-30,2121,N20,VIIRS,n,2.0NRT,287.54,0.82,N
18.50696,74.2235,303.35,0.39,0.36,2026-09-01,2042,N20,VIIRS,n,2.0NRT,288.01,0.68,N
18.4227,73.94713,303.53,0.39,0.36,2026-09-06,2049,N20,VIIRS,n,2.0NRT,291.43,0.45,N
18.43314,74.12675,302.22,0.39,0.36,2026-08-13,2044,N21,VIIRS,n,2.0NRT,286.57,0.5,N
18.57163,74.18153,310.06,0.54,0.68,2026-08-21,1951,N21,VIIRS,n,2.0NRT,284.01,2.1,N
18.80127,74.25323,300.25,0.54,0.68,2026-08-21,1951,N21,VIIRS,n,2.0NRT,277.53,1.25,N
18.80414,74.25832,314.73,0.41,0.45,2026-08-25,2017,N21,VIIRS,n,2.0NRT,290.13,1.88,N
18.77779,73.7496,321.51,0.38,0.36,2026-08-29,2044,N21,VIIRS,n,2.0NRT,289.43,1.86,N
18.3947,74.34995,332.85,0.42,0.45,2026-08-30,754,N21,VIIRS,n,2.0NRT,298.89,1.79,D
18.54595,74.25349,306.23,0.5,0.41,2026-08-30,2023,N21,VIIRS,n,2.0NRT,289.56,1.61,N
18.79948,74.2539,305.94,0.33,0.55,2026-08-31,2006,N21,VIIRS,n,2.0NRT,288.24,1.46,N
18.45843,74.21844,334.79,0.4,0.44,2026-09-02,837,N21,VIIRS,n,2.0NRT,291.29,3.53,D
18.5062,74.34609,343.88,0.39,0.36,2026-09-03,818,N21,VIIRS,n,2.0NRT,303.18,5.6,D
