name,latitude,longitude,type
Unnamed Industrial Feature,18.5123269,74.186216,industrial
Unnamed Industrial Feature,18.5151336,74.1808436,industrial
Unnamed Industrial Feature,18.5186968,74.1852343,industrial
Unnamed Industrial Feature,18.4863986,74.1740977,industrial
Unnamed Industrial Feature,18.5140125,74.1866586,industrial
Unnamed Industrial Feature,18.5073493,74.182485,industrial
Unnamed Industrial Feature,18.5124617,74.1848159,industrial
Unnamed Industrial Feature,18.5171415,74.1802048,industrial
Unnamed Industrial Feature,18.5184895,74.1823054,industrial
Unnamed Industrial Feature,18.5184374,74.1813827,industrial
Unnamed Industrial Feature,18.5164306,74.1978059,industrial
Unnamed Industrial Feature,18.4824633,74.2134726,industrial
DPS Power Sub Station,23.7113415,86.8762296,industrial
Unnamed Industrial Feature,25.2407265,83.3968069,industrial
Unnamed Industrial Feature,25.2399865,83.3948411,industrial
Unnamed Industrial Feature,25.2306424,83.3984065,industrial
Unnamed Industrial Feature,25.2520433,83.3990831,industrial
Unnamed Industrial Feature,25.2503385,83.3988749,industrial
Unnamed Industrial Feature,25.2502097,83.3978393,industrial
Unnamed Industrial Feature,25.2509927,83.3967873,industrial
Unnamed Industrial Feature,25.2507548,83.3959873,industrial
Unnamed Industrial Feature,25.2519046,83.3951435,industrial
Unnamed Industrial Feature,25.2465072,83.3762265,industrial
Unnamed Industrial Feature,25.2434013,83.3866194,industrial
Unnamed Industrial Feature,25.2374782,83.3823071,industrial
Unnamed Industrial Feature,25.2373234,83.3841552,industrial
Unnamed Industrial Feature,25.2358167,83.3872241,industrial
Unnamed Industrial Feature,25.2347745,83.387726,industrial
Unnamed Industrial Feature,25.2348157,83.3813602,industrial
Unnamed Industrial Feature,25.233598,83.3825125,industrial
Unnamed Industrial Feature,25.2327931,83.3803107,industrial
Unnamed Industrial Feature,25.2288612,83.3849082,industrial
Unnamed Industrial Feature,25.2283658,83.3838929,industrial
Unnamed Industrial Feature,25.2282059,83.3821246,industrial
Unnamed Industrial Feature,25.2297694,83.3781887,industrial
Unnamed Industrial Feature,25.227726,83.3777096,industrial
Unnamed Industrial Feature,25.2257239,83.3822957,industrial
Unnamed Industrial Feature,25.2191496,83.3815085,industrial
Unnamed Industrial Feature,25.2189845,83.3763292,industrial
Unnamed Industrial Feature,25.2195315,83.3743099,industrial
Unnamed Industrial Feature,25.213184,83.3487326,industrial
Unnamed Industrial Feature,25.2169822,83.3603234,industrial
Unnamed Industrial Feature,25.2273957,83.3568096,industrial
Unnamed Industrial Feature,25.2283246,83.3556346,industrial
Unnamed Industrial Feature,25.2306053,83.3557372,industrial
Unnamed Industrial Feature,25.229501,83.3525315,industrial
Unnamed Industrial Feature,25.2316786,83.351037,industrial
Unnamed Industrial Feature,25.230982,83.3472039,industrial
Unnamed Industrial Feature,25.2604675,83.3413058,industrial
Unnamed Industrial Feature,25.2589508,83.3396402,industrial
Unnamed Industrial Feature,25.2605294,83.3376551,industrial
Unnamed Industrial Feature,25.2617984,83.3344266,industrial
Unnamed Industrial Feature,25.2955415,83.3376437,industrial
Unnamed Industrial Feature,25.3130025,83.338659,industrial
Unnamed Industrial Feature,25.3148485,83.3438498,industrial
Unnamed Industrial Feature,25.3194067,83.3451389,industrial
private owned.,24.4200708,85.5323777,slaughterhouse
Bokaro Steel Plant,23.6852883,86.102095,industrial
Tata Steel,22.7850438,86.1994662,industrial
IISCO Steel Plant,23.6705108,86.9251966,industrial
Durgapur Steel Plant,23.5364576,87.2586482,industrial
Kolaghat Power Plant,22.4178163,87.8713127,industrial
Heavy Engineering Corporation Limited,23.2934981,85.2897405,industrial
New Wagon Shop,22.3332145,87.2898201,industrial
Unnamed Industrial Feature,22.1989781,84.5888874,industrial
Kadma Telephone Exchange,22.8087482,86.1660491,industrial
Farakka Super Thermal Power Station,24.773986,87.8937874,industrial
Jindal Steel,23.631977,85.3217586,industrial
Unnamed Industrial Feature,23.6168491,86.4807062,industrial
Santhaldih,23.602324,86.4662777,industrial
Unnamed Industrial Feature,22.95425,86.0680096,industrial
Bihar Sponge Iron Ltd.,22.9089797,86.0744925,industrial
Unnamed Industrial Feature,22.7888584,85.9439697,industrial
Unnamed Industrial Feature,22.8253267,86.0724731,industrial
Unnamed Industrial Feature,22.8353546,86.2301925,industrial
Unnamed Industrial Feature,22.7537501,86.246007,industrial
Unnamed Industrial Feature,22.8745058,86.064596,industrial
Chandrapura Thermal Power Station,23.7379135,86.1231162,industrial
Unnamed Industrial Feature,23.7371901,86.1550118,industrial
Unnamed Industrial Feature,22.3248152,87.3018611,industrial
Unnamed Industrial Feature,23.7634213,86.5742801,industrial
Unnamed Industrial Feature,23.6372821,86.8868391,industrial
Unnamed Industrial Feature,23.7251143,86.830618,industrial
Unnamed Industrial Feature,23.7367747,86.8390984,industrial
Unnamed Industrial Feature,23.6601342,86.4274384,industrial
Shalboni Mint,22.6151964,87.3015796,industrial
Unnamed Industrial Feature,23.6591201,86.4947831,industrial
Unnamed Industrial Feature,23.7890086,86.4320929,industrial
Unnamed Industrial Feature,23.7748204,86.3176267,industrial
Unnamed Industrial Feature,23.5121128,87.2791826,industrial
Unnamed Industrial Feature,23.5997112,87.1191113,industrial
Unnamed Industrial Feature,23.5846173,87.1763344,industrial
Unnamed Industrial Feature,23.4957263,87.3743152,industrial
Unnamed Industrial Feature,23.5019201,87.3696475,industrial
Unnamed Industrial Feature,23.5009844,87.3664299,industrial
Unnamed Industrial Feature,23.4965757,87.3796984,industrial
Unnamed Industrial Feature,23.4971868,87.3695173,industrial
Unnamed Industrial Feature,23.5010155,87.3766161,industrial
Unnamed Industrial Feature,23.492372,87.3593406,industrial
Durgapur Projects Limited Power Station,23.5182601,87.3040458,industrial
Unnamed Industrial Feature,23.5151093,87.3123928,industrial
Unnamed Industrial Feature,23.511024,87.3178015,industrial
Unnamed Industrial Feature,23.5169428,87.3210267,industrial
Unnamed Industrial Feature,23.5055651,87.332965,industrial
Unnamed Industrial Feature,23.513582,87.3303073,industrial
Unnamed Industrial Feature,23.4909328,87.3320041,industrial
Unnamed Industrial Feature,23.4903862,87.3380247,industrial
Unnamed Industrial Feature,23.4944532,87.3264805,industrial
Unnamed Industrial Feature,23.5049444,87.3139017,industrial
Mejia Thermal Power Station,23.460457,87.1366381,industrial
Unnamed Industrial Feature,24.2274606,83.8830613,industrial
Unnamed Industrial Feature,24.8004857,84.967954,industrial
Unnamed Industrial Feature,22.3373804,87.3157907,industrial
Bokaro Thermal Power Station,23.7838465,85.88096,industrial
Unnamed Industrial Feature,23.7526637,85.8715745,industrial
Unnamed Industrial Feature,23.6980515,86.0615856,industrial
Unnamed Industrial Feature,23.7539628,86.0585479,industrial
Unnamed Industrial Feature,23.7718708,85.9773315,industrial
Tata Iron and Steel Company Limited (TISCO) - West Bokaro,23.7774478,85.5531952,industrial
Unnamed Industrial Feature,23.3715569,85.4422468,industrial
Sone Valley Cements Limited,24.5493556,83.9645663,industrial
Cement Factory,24.6704768,83.9882914,industrial
Bakreshwar TPS,23.8299977,87.4520014,industrial
Tenughat Thermal Power Plant,23.7284894,85.7620738,industrial
Unnamed Industrial Feature,22.2222558,84.8761641,cooling
Unnamed Industrial Feature,22.2223773,84.8773159,cooling
Unnamed Industrial Feature,22.2295524,84.8488602,industrial
Unnamed Industrial Feature,22.2314498,84.8251574,industrial
Unnamed Industrial Feature,22.2340992,84.8108648,industrial
Unnamed Industrial Feature,22.1988455,84.842942,industrial
Unnamed Industrial Feature,22.136608,84.8857589,industrial
Jamalpur Locomotive Workshop,25.3075398,86.4914182,industrial
Unnamed Industrial Feature,24.1218446,86.3540057,industrial
Unnamed Industrial Feature,22.0699926,84.9142359,industrial
Unnamed Industrial Feature,23.3793951,85.8720922,industrial
Usha Martin factory,23.3700809,85.4291863,industrial
Unnamed Industrial Feature,24.5163095,86.6405268,industrial
Unnamed Industrial Feature,22.0078918,85.4284526,industrial
Tata Metaliks,22.384885,87.2869065,industrial
Unnamed Industrial Feature,22.0955838,85.3477968,industrial
Unnamed Industrial Feature,22.0967663,85.3523396,industrial
Unnamed Industrial Feature,22.092739,85.3528562,industrial
Unnamed Industrial Feature,22.1006862,85.3736186,industrial
Patratu Thermal Power Station,23.6426893,85.2929453,industrial
Maithon Power Plant,23.8209777,86.7464048,industrial
Kahalgaon Thermal Power Station,25.2390895,87.2663069,industrial
Chittranjan Locomotive Works,23.8554005,86.9156377,industrial
Chittaranjan Locomotive Works,23.8590401,86.9088979,industrial
Crescent Power Limited,23.7851322,87.0472183,industrial
Durgapur Steel Thermal Power Station,23.5774768,87.2102967,industrial
Unnamed Industrial Feature,22.6303329,87.2964183,industrial
Koderma Thermal Power Station,24.3859329,85.5625835,industrial
Unnamed Industrial Feature,22.3792957,87.2891956,industrial
IFB Agro Industries Ltd.,23.4311152,87.4852846,industrial
Dongamahua Power Plant,22.1284377,83.5350716,industrial
XPRO India Biax Division,23.4333967,87.2613992,industrial
Neamatpur ECL Workshop,23.7103925,86.8768296,industrial
Linkers India Workshop,23.7096628,86.9095346,industrial
Unnamed Industrial Feature,24.4261541,85.7819315,industrial
Unnamed Industrial Feature,24.433126,85.7600934,industrial
Kalta Mines Office,21.966094,85.2154632,industrial
S.F.C godown,23.3512298,85.3134282,industrial
Unnamed Industrial Feature,22.6526632,86.3464083,industrial
Unnamed Industrial Feature,22.417783,87.2554268,industrial
Raghunathpur Thermal Power Station,23.6209637,86.6576229,industrial
Nabinagar Thermal Power Project,24.702005,84.0908206,industrial
Rothas Industries,24.9184216,84.1918774,industrial
Unnamed Industrial Feature,24.4577097,85.5253187,industrial
TRF Limited,22.7726857,86.2111478,industrial
Tata Tube Division,22.7738295,86.218969,industrial
Brick yards,24.9024965,84.9999128,industrial
Unnamed Industrial Feature,24.5455813,84.7806708,industrial
Unnamed Industrial Feature,24.5456852,84.7830852,industrial
Unnamed Industrial Feature,24.5448542,84.7888913,industrial
Unnamed Industrial Feature,24.5469142,84.7924634,industrial
Unnamed Industrial Feature,24.5474578,84.7955706,industrial
Unnamed Industrial Feature,24.5507027,84.8043405,industrial
Unnamed Industrial Feature,24.5556235,84.8078472,industrial
Unnamed Industrial Feature,24.8988706,84.8652834,industrial
Unnamed Industrial Feature,24.9633035,84.8547284,industrial
Unnamed Industrial Feature,24.9633537,84.8591469,industrial
Unnamed Industrial Feature,24.4662041,84.5800943,industrial
Unnamed Industrial Feature,24.4677085,84.5845324,industrial
Unnamed Industrial Feature,24.6083566,84.8233353,industrial
Unnamed Industrial Feature,24.5946961,84.834096,industrial
Unnamed Industrial Feature,24.5964695,84.8328625,industrial
Unnamed Industrial Feature,24.6016076,84.8315635,industrial
Unnamed Industrial Feature,24.6250396,84.8117585,industrial
Unnamed Industrial Feature,24.627829,84.8135368,industrial
Unnamed Industrial Feature,24.6282748,84.8157348,industrial
Unnamed Industrial Feature,24.5762287,84.8126191,industrial
Unnamed Industrial Feature,24.6008275,84.8263666,industrial
Unnamed Industrial Feature,24.596892,84.8270849,industrial
Unnamed Industrial Feature,24.5775284,84.7927922,industrial
Unnamed Industrial Feature,24.5861702,84.7939401,industrial
Unnamed Industrial Feature,24.5805705,84.7945854,industrial
Unnamed Industrial Feature,24.66959,84.8698751,industrial
Unnamed Industrial Feature,24.574407,84.9740868,industrial
Unnamed Industrial Feature,24.5740548,84.9757025,industrial
Unnamed Industrial Feature,24.5715812,84.9748319,industrial
Unnamed Industrial Feature,24.5964249,84.9946461,industrial
Unnamed Industrial Feature,24.5597511,84.7422253,industrial
Unnamed Industrial Feature,24.561123,84.7450099,industrial
Unnamed Industrial Feature,24.6029,84.8216296,industrial
Unnamed Industrial Feature,24.6013594,84.814578,industrial
Unnamed Industrial Feature,24.6001045,84.8114317,industrial
Unnamed Industrial Feature,24.5980128,84.8117077,industrial
Unnamed Industrial Feature,24.5849342,84.8207735,industrial
Unnamed Industrial Feature,24.5489002,84.7953705,industrial
Tamnar Power Station,22.1047558,83.450249,industrial
Unnamed Industrial Feature,24.9431675,85.0867262,industrial
Unnamed Industrial Feature,24.6777802,84.817443,industrial
Unnamed Industrial Feature,24.5882661,84.8046442,industrial
Unnamed Industrial Feature,24.5884536,84.8088079,industrial
Unnamed Industrial Feature,24.5830067,84.8059246,industrial
Unnamed Industrial Feature,24.5669361,84.7413447,industrial
Unnamed Industrial Feature,24.5695218,84.7467827,industrial
Unnamed Industrial Feature,24.9637671,85.0974605,industrial
Unnamed Industrial Feature,24.8604103,85.0380744,industrial
Unnamed Industrial Feature,24.8617598,85.0505493,industrial
Unnamed Industrial Feature,24.8736166,85.0055225,industrial
Unnamed Industrial Feature,24.9186682,84.9904187,industrial
Unnamed Industrial Feature,24.9213936,84.9878623,industrial
Unnamed Industrial Feature,24.9246204,84.9868645,industrial
Unnamed Industrial Feature,24.9261218,84.9837223,industrial
Unnamed Industrial Feature,24.9306589,84.9851115,industrial
Unnamed Industrial Feature,24.9328877,84.9931759,industrial
Unnamed Industrial Feature,24.9381262,85.1867778,industrial
Unnamed Industrial Feature,24.9440866,85.1888292,industrial
Unnamed Industrial Feature,24.9356031,85.1777866,industrial
Unnamed Industrial Feature,24.6591855,84.8107955,industrial
Unnamed Industrial Feature,24.6569532,84.8116394,industrial
Unnamed Industrial Feature,24.7057565,84.8246233,industrial
Unnamed Industrial Feature,24.7295174,84.799803,industrial
Unnamed Industrial Feature,24.7013574,84.7886598,industrial
Brick yards,24.7326604,84.8349861,industrial
Unnamed Industrial Feature,24.6440287,84.7049912,industrial
Unnamed Industrial Feature,24.5354703,84.7565203,industrial
Unnamed Industrial Feature,24.4355149,84.803558,industrial
Unnamed Industrial Feature,23.3609812,85.3323793,industrial
Unnamed Industrial Feature,23.7330693,86.8112714,industrial
Unnamed Industrial Feature,24.6731459,84.9807264,industrial
Unnamed Industrial Feature,24.674485,84.9894012,industrial
Unnamed Industrial Feature,23.3832897,87.6640528,industrial
Unnamed Industrial Feature,23.3810194,87.6765061,industrial
Unnamed Industrial Feature,23.3822919,87.6739164,industrial
Unnamed Industrial Feature,23.3970081,87.6702224,industrial
Unnamed Industrial Feature,22.4821887,86.7134958,industrial
Unnamed Industrial Feature,22.4706748,86.7179328,industrial
Unnamed Industrial Feature,22.4747584,86.7229825,industrial
Unnamed Industrial Feature,22.3195256,87.2498159,industrial
Unnamed Industrial Feature,22.4816323,86.7317156,industrial
Unnamed Industrial Feature,22.4851114,86.7297684,industrial
Unnamed Industrial Feature,23.693651,87.1096218,industrial
Unnamed Industrial Feature,23.6931402,87.1202104,industrial
Unnamed Industrial Feature,23.692324,87.0997373,industrial
Unnamed Industrial Feature,23.5240706,87.2654201,industrial
Unnamed Industrial Feature,23.4766041,87.3973689,industrial
Matix Fertilizers & Chemicals Ltd.,23.4421632,87.4868604,agriculture
Unnamed Industrial Feature,24.7888867,85.280641,industrial
Unnamed Industrial Feature,24.8590388,85.5461534,industrial
Unnamed Industrial Feature,25.0943761,85.5537823,industrial
Unnamed Industrial Feature,25.095214,85.5208632,industrial
Unnamed Industrial Feature,25.2511456,85.5547409,industrial
Unnamed Industrial Feature,25.2311883,86.9474809,industrial
Mahadev Prasad Super Thermal Power Plant,22.8376403,86.0593502,industrial
Oil terminal,24.5113052,86.6365027,industrial
Unnamed Industrial Feature,22.150305,85.5118382,industrial
High Tension Insulated Factory,23.3542157,85.3625413,industrial
Patratu Thermal Power Station,23.6212834,85.2752153,industrial
Unnamed Industrial Feature,23.6690678,87.0634058,industrial
Bokaro Steel Plant,23.6325092,86.2984935,industrial
Tori Power Project,23.7085512,84.7737493,industrial
SAIL Chasnalla ADM Building,23.6647835,86.4456596,industrial
SAIL Parbatpur colliery Area,23.680598,86.345723,industrial
SAIL Parbatpur Colliery,23.6823271,86.3520607,industrial
Nabinagar Super Thermal Power Project,24.7703771,84.1600811,industrial
Unnamed Industrial Feature,22.0598514,83.3401307,industrial
Durgapur Thermal Power Station,23.530482,87.2499002,industrial
ACC Cement Ltd.,22.42433,85.754294,industrial
Unnamed Industrial Feature,23.6467551,85.4624534,industrial
Unnamed Industrial Feature,23.6223942,85.4536182,industrial
Unnamed Industrial Feature,22.4169991,87.8666693,cooling
Unnamed Industrial Feature,22.4182155,87.8666128,cooling
Unnamed Industrial Feature,22.4157882,87.8667277,cooling
brickfield,22.1475077,87.8989878,industrial
brickfield,22.1460243,87.9017641,industrial
brickfield,22.1296845,87.9167437,industrial
brickfield,22.1323483,87.9114845,industrial
brickfield,22.1332682,87.9076577,industrial
brickfield,22.1342844,87.8997586,industrial
brickfield,22.1345503,87.9035354,industrial
brickfield,22.126056,87.9245905,industrial
brickfield,22.1279776,87.9210271,industrial
Unnamed Industrial Feature,24.4102743,83.8429275,brickyard
Unnamed Industrial Feature,24.7984712,85.5419969,industrial
Unnamed Industrial Feature,22.7683119,86.2359112,industrial
Unnamed Industrial Feature,22.7712147,86.2235946,industrial
Unnamed Industrial Feature,22.8039435,86.0927218,industrial
Unnamed Industrial Feature,23.7652791,86.0303762,industrial
Darlipali Super Thermal Power Station,21.9676335,83.8945734,industrial
Unnamed Industrial Feature,23.9271937,85.3424224,industrial
Unnamed Industrial Feature,23.8181746,85.5700555,industrial
Unnamed Industrial Feature,23.7960489,85.5692292,industrial
Unnamed Industrial Feature,23.7967487,85.5499559,industrial
Unnamed Industrial Feature,23.8236795,85.4902673,industrial
Unnamed Industrial Feature,23.8270445,85.4870041,brickyard
Unnamed Industrial Feature,23.8183534,85.4729895,industrial
Unnamed Industrial Feature,23.7234683,85.524852,industrial
Unnamed Industrial Feature,23.7405312,85.6438988,industrial
