name,latitude,longitude,type
Unnamed Industrial Feature,18.5123269,74.186216,industrial
Unnamed Industrial Feature,18.5151336,74.1808436,industrial
Unnamed Industrial Feature,18.5186968,74.1852343,industrial
Unnamed Industrial Feature,18.4863986,74.1740977,industrial
Unnamed Industrial Feature,18.5140125,74.1866586,industrial
Unnamed Industrial Feature,18.5073493,74.182485,industrial
Unnamed Industrial Feature,18.5124617,74.1848159,industrial
Unnamed Industrial Feature,18.5171415,74.1802048,industrial
Unnamed Industrial Feature,18.5184895,74.1823054,industrial
Unnamed Industrial Feature,18.5184374,74.1813827,industrial
Unnamed Industrial Feature,18.5164306,74.1978059,industrial
Unnamed Industrial Feature,18.4824633,74.2134726,industrial
