latitude,longitude,frp,baseline_frp,frp_change_percent,confidence_score,Distance_to_Industry_km,near_industry_numeric,detections,classification
18.54775,74.2534,0.82,1.61,-49.068322981366464,70,6.82,0,1,Other Thermal Event
18.50696,74.2235,0.68,0.68,0.0,70,2.91,0,0,Other Thermal Event
18.4227,73.94713,0.45,0.45,0.0,70,2.84,0,0,Other Thermal Event
18.43314,74.12675,0.5,0.5,0.0,70,7.73,0,0,Other Thermal Event
18.57163,74.18153,2.1,2.1,0.0,70,5.87,0,0,Other Thermal Event
18.80127,74.25323,1.25,1.67,-25.149700598802397,70,32.07,0,2,Normal Persistent Source
18.80414,74.25832,1.88,1.355,38.74538745387453,70,32.48,0,2,Normal Persistent Source
18.77779,73.7496,1.86,1.86,0.0,70,40.84,0,0,Other Thermal Event
18.3947,74.34995,1.79,1.79,0.0,70,17.38,0,0,Other Thermal Event
18.54595,74.25349,1.61,0.82,96.34146341463416,70,6.73,0,1,Other Thermal Event
18.79948,74.2539,1.46,1.565,-6.7092651757188495,70,31.88,0,2,Normal Persistent Source
18.45843,74.21844,3.53,3.53,0.0,70,2.71,0,0,Other Thermal Event
18.5062,74.34609,5.6,5.6,0.0,70,14.25,0,0,Other Thermal Event
18.715996970905703,74.06906093893792,6.97,1.44,385.21,70,0.45,1,3,Industrial Fire
18.421433408960972,74.10562193106419,4.95,1.65,200.11,70,1.36,1,2,Industrial Fire
18.441702254926717,73.86296957007168,2.62,1.03,154.55,95,0.89,1,1,Industrial Fire
18.37333283160681,74.33162886318901,5.8,1.81,219.96,95,0.34,1,2,Industrial Fire
18.64620728443102,73.682515288904,3.54,1.0,254.27,95,0.47,1,3,Industrial Fire
18.63164410892277,73.91979155177795,2.57,0.53,382.66,70,0.57,1,3,Industrial Fire
18.766597455868084,73.77135525745544,8.46,2.21,283.0,95,0.49,1,2,Industrial Fire
18.633850163909997,73.6719193047189,4.1,1.56,162.38,95,0.92,1,2,Industrial Fire
18.81093711751156,73.71194475143635,10.38,2.74,279.37,70,0.27,1,1,Industrial Fire
18.764368754575965,73.89972732868551,4.14,1.47,181.4,95,1.07,1,1,Industrial Fire
18.3578182033706,73.94638103649446,3.1,1.24,149.58,95,0.67,1,3,Industrial Fire
18.714503584020495,74.18988924268015,10.46,2.54,312.06,70,0.77,1,1,Industrial Fire
18.574725337069104,73.71678708154329,12.68,2.79,355.01,95,1.27,1,1,Industrial Fire
18.793606371288163,73.98055044761337,9.09,2.32,291.27,70,1.34,1,1,Industrial Fire
18.478034161380663,73.6783035126769,6.24,2.3,170.8,95,0.38,1,1,Industrial Fire
18.587685111591057,74.04429290038347,4.71,1.0,368.73,95,0.42,1,3,Industrial Fire
18.464399082745814,73.70388593688016,6.51,1.53,326.67,95,0.46,1,2,Industrial Fire
18.402747129915138,73.96957419933804,5.95,2.06,188.69,95,0.87,1,2,Industrial Fire
18.798045649961747,73.8726024324803,8.17,1.85,342.23,70,0.56,1,2,Industrial Fire
18.502390629079017,73.76525909720006,1.53,0.5,205.77,95,0.98,1,1,Industrial Fire
